Step 1/300: V_g=-0.2: 15 iterations, reldev=0.469112, converged!
Step 2/300: V_g=-0.197324: 15 iterations, reldev=0.641372, converged!
Step 3/300: V_g=-0.194649: 15 iterations, reldev=0.414987, converged!
Step 4/300: V_g=-0.191973: 15 iterations, reldev=0.338184, converged!
Step 5/300: V_g=-0.189298: 15 iterations, reldev=0.354428, converged!
Step 6/300: V_g=-0.186622: 15 iterations, reldev=0.22307, converged!
Step 7/300: V_g=-0.183946: 15 iterations, reldev=0.433548, converged!
Step 8/300: V_g=-0.181271: 15 iterations, reldev=0.264637, converged!
Step 9/300: V_g=-0.178595: 15 iterations, reldev=0.308155, converged!
Step 10/300: V_g=-0.17592: 41 iterations, reldev=10.9948, DIVERGED!!!
Step 11/300: V_g=-0.173244: 15 iterations, reldev=0.288421, converged!
Step 12/300: V_g=-0.170569: 15 iterations, reldev=0.331617, converged!
Step 13/300: V_g=-0.167893: 15 iterations, reldev=0.370545, converged!
Step 14/300: V_g=-0.165217: 15 iterations, reldev=0.41275, converged!
Step 15/300: V_g=-0.162542: 14 iterations, reldev=0.85937, converged!
Step 16/300: V_g=-0.159866: 15 iterations, reldev=0.492213, converged!
Step 17/300: V_g=-0.157191: 14 iterations, reldev=0.946422, converged!
Step 18/300: V_g=-0.154515: 15 iterations, reldev=0.430558, converged!
Step 19/300: V_g=-0.151839: 17 iterations, reldev=0.736526, converged!
Step 20/300: V_g=-0.149164: 27 iterations, reldev=0.750136, converged!
Step 21/300: V_g=-0.146488: 22 iterations, reldev=0.859246, converged!
Step 22/300: V_g=-0.143813: 41 iterations, reldev=2.80302, DIVERGED!!!
Step 23/300: V_g=-0.141137: 24 iterations, reldev=0.121613, converged!
Step 24/300: V_g=-0.138462: 20 iterations, reldev=0.22034, converged!
Step 25/300: V_g=-0.135786: 15 iterations, reldev=0.805085, converged!
Step 26/300: V_g=-0.13311: 15 iterations, reldev=0.626289, converged!
Step 27/300: V_g=-0.130435: 15 iterations, reldev=0.194998, converged!
Step 28/300: V_g=-0.127759: 15 iterations, reldev=0.706286, converged!
Step 29/300: V_g=-0.125084: 15 iterations, reldev=0.182137, converged!
Step 30/300: V_g=-0.122408: 14 iterations, reldev=0.984146, converged!
Step 31/300: V_g=-0.119732: 15 iterations, reldev=0.133998, converged!
Step 32/300: V_g=-0.117057: 15 iterations, reldev=0.23168, converged!
Step 33/300: V_g=-0.114381: 14 iterations, reldev=0.943839, converged!
Step 34/300: V_g=-0.111706: 14 iterations, reldev=0.808154, converged!
Step 35/300: V_g=-0.10903: 14 iterations, reldev=0.925853, converged!
Step 36/300: V_g=-0.106355: 14 iterations, reldev=0.917213, converged!
Step 37/300: V_g=-0.103679: 14 iterations, reldev=0.785558, converged!
Step 38/300: V_g=-0.101003: 14 iterations, reldev=0.641843, converged!
Step 39/300: V_g=-0.0983278: 14 iterations, reldev=0.940966, converged!
Step 40/300: V_g=-0.0956522: 14 iterations, reldev=0.976018, converged!
Step 41/300: V_g=-0.0929766: 41 iterations, reldev=1236.93, DIVERGED!!!
Step 42/300: V_g=-0.090301: 14 iterations, reldev=0.983846, converged!
Step 43/300: V_g=-0.0876254: 15 iterations, reldev=0.600804, converged!
Step 44/300: V_g=-0.0849498: 14 iterations, reldev=0.752962, converged!
Step 45/300: V_g=-0.0822742: 14 iterations, reldev=0.746653, converged!
Step 46/300: V_g=-0.0795987: 16 iterations, reldev=0.156438, converged!
