Step 1/300: V_g=-0.2: 18 iterations, reldev=0.558285, converged!
Step 2/300: V_g=-0.197324: 19 iterations, reldev=0.138653, converged!
Step 3/300: V_g=-0.194649: 23 iterations, reldev=0.514843, converged!
Step 4/300: V_g=-0.191973: 16 iterations, reldev=0.251197, converged!
Step 5/300: V_g=-0.189298: 15 iterations, reldev=0.976536, converged!
Step 6/300: V_g=-0.186622: 15 iterations, reldev=0.674579, converged!
Step 7/300: V_g=-0.183946: 17 iterations, reldev=0.364517, converged!
Step 8/300: V_g=-0.181271: 16 iterations, reldev=0.865522, converged!
Step 9/300: V_g=-0.178595: 15 iterations, reldev=0.476281, converged!
Step 10/300: V_g=-0.17592: 15 iterations, reldev=0.730207, converged!
Step 11/300: V_g=-0.173244: 15 iterations, reldev=0.720654, converged!
Step 12/300: V_g=-0.170569: 16 iterations, reldev=0.30664, converged!
Step 13/300: V_g=-0.167893: 16 iterations, reldev=0.999304, converged!
Step 14/300: V_g=-0.165217: 15 iterations, reldev=0.424669, converged!
Step 15/300: V_g=-0.162542: 29 iterations, reldev=1.86816, DIVERGED!!!
20 iterations, reldev=0.262995, converged!
Step 16/300: V_g=-0.159866: 15 iterations, reldev=0.930573, converged!
Step 17/300: V_g=-0.157191: 17 iterations, reldev=0.21616, converged!
Step 18/300: V_g=-0.154515: 17 iterations, reldev=0.219558, converged!
Step 19/300: V_g=-0.151839: 16 iterations, reldev=0.763112, converged!
Step 20/300: V_g=-0.149164: 19 iterations, reldev=0.930209, converged!
Step 21/300: V_g=-0.146488: 18 iterations, reldev=0.651599, converged!
Step 22/300: V_g=-0.143813: 29 iterations, reldev=10.6357, DIVERGED!!!
17 iterations, reldev=0.124828, converged!
Step 23/300: V_g=-0.141137: 29 iterations, reldev=1.32729, DIVERGED!!!
29 iterations, reldev=1.68381, DIVERGED!!!
Step 24/300: V_g=-0.138462: 22 iterations, reldev=0.981156, converged!
Step 25/300: V_g=-0.135786: 24 iterations, reldev=0.0725247, converged!
Step 26/300: V_g=-0.13311: 29 iterations, reldev=4.57187, DIVERGED!!!
20 iterations, reldev=0.223042, converged!
Step 27/300: V_g=-0.130435: 18 iterations, reldev=0.261432, converged!
Step 28/300: V_g=-0.127759: 17 iterations, reldev=0.321805, converged!
Step 29/300: V_g=-0.125084: 14 iterations, reldev=0.823263, converged!
Step 30/300: V_g=-0.122408: 15 iterations, reldev=0.992344, converged!
Step 31/300: V_g=-0.119732: 25 iterations, reldev=0.161265, converged!
Step 32/300: V_g=-0.117057: 14 iterations, reldev=0.806488, converged!
Step 33/300: V_g=-0.114381: 29 iterations, reldev=589021, DIVERGED!!!
29 iterations, reldev=395428, DIVERGED!!!
Step 34/300: V_g=-0.111706: 16 iterations, reldev=0.748881, converged!
Step 35/300: V_g=-0.10903: 15 iterations, reldev=0.295912, converged!
Step 36/300: V_g=-0.106355: 15 iterations, reldev=0.434796, converged!
Step 37/300: V_g=-0.103679: 17 iterations, reldev=0.159329, converged!
Step 38/300: V_g=-0.101003: 16 iterations, reldev=0.341568, converged!
Step 39/300: V_g=-0.0983278: 14 iterations, reldev=0.706898, converged!
Step 40/300: V_g=-0.0956522: 15 iterations, reldev=0.967967, converged!
Step 41/300: V_g=-0.0929766: 14 iterations, reldev=0.607848, converged!
Step 42/300: V_g=-0.090301: 14 iterations, reldev=0.373209, converged!
Step 43/300: V_g=-0.0876254: 14 iterations, reldev=0.228744, converged!
Step 44/300: V_g=-0.0849498: 14 iterations, reldev=0.4282, converged!
Step 45/300: V_g=-0.0822742: 14 iterations, reldev=0.294773, converged!
Step 46/300: V_g=-0.0795987: 14 iterations, reldev=0.399423, converged!
Step 47/300: V_g=-0.0769231: 14 iterations, reldev=0.671461, converged!
Step 48/300: V_g=-0.0742475: 14 iterations, reldev=0.687186, converged!
