Step 1/300: V_g=-0.2: 14 iterations, reldev=0.355875, converged!
Step 2/300: V_g=-0.197324: 13 iterations, reldev=0.974544, converged!
Step 3/300: V_g=-0.194649: 13 iterations, reldev=0.934772, converged!
Step 4/300: V_g=-0.191973: 13 iterations, reldev=0.964956, converged!
Step 5/300: V_g=-0.189298: 13 iterations, reldev=0.565449, converged!
Step 6/300: V_g=-0.186622: 13 iterations, reldev=0.925009, converged!
Step 7/300: V_g=-0.183946: 13 iterations, reldev=0.966897, converged!
Step 8/300: V_g=-0.181271: 13 iterations, reldev=0.805804, converged!
Step 9/300: V_g=-0.178595: 14 iterations, reldev=0.227101, converged!
Step 10/300: V_g=-0.17592: 13 iterations, reldev=0.974431, converged!
Step 11/300: V_g=-0.173244: 13 iterations, reldev=0.559026, converged!
Step 12/300: V_g=-0.170569: 13 iterations, reldev=0.888967, converged!
Step 13/300: V_g=-0.167893: 13 iterations, reldev=0.827069, converged!
Step 14/300: V_g=-0.165217: 13 iterations, reldev=0.858965, converged!
Step 15/300: V_g=-0.162542: 13 iterations, reldev=0.897787, converged!
Step 16/300: V_g=-0.159866: 13 iterations, reldev=0.898563, converged!
Step 17/300: V_g=-0.157191: 13 iterations, reldev=0.89205, converged!
Step 18/300: V_g=-0.154515: 14 iterations, reldev=0.210149, converged!
Step 19/300: V_g=-0.151839: 15 iterations, reldev=0.287565, converged!
Step 20/300: V_g=-0.149164: 13 iterations, reldev=0.867673, converged!
Step 21/300: V_g=-0.146488: 14 iterations, reldev=0.175457, converged!
Step 22/300: V_g=-0.143813: 13 iterations, reldev=0.879446, converged!
Step 23/300: V_g=-0.141137: 13 iterations, reldev=0.837439, converged!
Step 24/300: V_g=-0.138462: 13 iterations, reldev=0.834864, converged!
Step 25/300: V_g=-0.135786: 13 iterations, reldev=0.929616, converged!
Step 26/300: V_g=-0.13311: 13 iterations, reldev=0.873652, converged!
Step 27/300: V_g=-0.130435: 13 iterations, reldev=0.86526, converged!
Step 28/300: V_g=-0.127759: 13 iterations, reldev=0.822779, converged!
Step 29/300: V_g=-0.125084: 13 iterations, reldev=0.873171, converged!
Step 30/300: V_g=-0.122408: 13 iterations, reldev=0.861064, converged!
Step 31/300: V_g=-0.119732: 13 iterations, reldev=0.904915, converged!
Step 32/300: V_g=-0.117057: 14 iterations, reldev=0.144413, converged!
Step 33/300: V_g=-0.114381: 13 iterations, reldev=0.865722, converged!
Step 34/300: V_g=-0.111706: 13 iterations, reldev=0.826703, converged!
Step 35/300: V_g=-0.10903: 13 iterations, reldev=0.831123, converged!
Step 36/300: V_g=-0.106355: 13 iterations, reldev=0.781745, converged!
Step 37/300: V_g=-0.103679: 13 iterations, reldev=0.742932, converged!
Step 38/300: V_g=-0.101003: 13 iterations, reldev=0.750169, converged!
Step 39/300: V_g=-0.0983278: 13 iterations, reldev=0.791193, converged!
Step 40/300: V_g=-0.0956522: 13 iterations, reldev=0.608403, converged!
Step 41/300: V_g=-0.0929766: 13 iterations, reldev=0.826829, converged!
Step 42/300: V_g=-0.090301: 13 iterations, reldev=0.791635, converged!
Step 43/300: V_g=-0.0876254: 13 iterations, reldev=0.821584, converged!
Step 44/300: V_g=-0.0849498: 13 iterations, reldev=0.812279, converged!
Step 45/300: V_g=-0.0822742: 13 iterations, reldev=0.417401, converged!
Step 46/300: V_g=-0.0795987: 13 iterations, reldev=0.74189, converged!
Step 47/300: V_g=-0.0769231: 13 iterations, reldev=0.744197, converged!
Step 48/300: V_g=-0.0742475: 13 iterations, reldev=0.725849, converged!
Step 49/300: V_g=-0.0715719: 13 iterations, reldev=0.72861, converged!
Step 50/300: V_g=-0.0688963: 13 iterations, reldev=0.716211, converged!
Step 51/300: V_g=-0.0662207: 13 iterations, reldev=0.692921, converged!
Step 52/300: V_g=-0.0635452: 13 iterations, reldev=0.676339, converged!
Step 53/300: V_g=-0.0608696: 13 iterations, reldev=0.676143, converged!
Step 54/300: V_g=-0.058194: 13 iterations, reldev=0.656131, converged!
Step 55/300: V_g=-0.0555184: 13 iterations, reldev=0.660815, converged!
Step 56/300: V_g=-0.0528428: 13 iterations, reldev=0.678828, converged!
Step 57/300: V_g=-0.0501672: 13 iterations, reldev=0.632736, converged!
Step 58/300: V_g=-0.0474916: 13 iterations, reldev=0.619314, converged!
Step 59/300: V_g=-0.0448161: 13 iterations, reldev=0.581837, converged!
Step 60/300: V_g=-0.0421405: 13 iterations, reldev=0.567505, converged!
Step 61/300: V_g=-0.0394649: 13 iterations, reldev=0.560067, converged!
